"","lon","lat","coord","cover","Region","Realm"
"38102",121.5,15.5,"121.5_15.5",0.58,"Indo-Malayan","Oriental"
"38126",145.5,15.5,"145.5_15.5",0.02,"Papua-Melanesian","Oceanian"
"38171",-169.5,16.5,"-169.5_16.5",0.02,"Papua-Melanesian","Oceanian"
"38240",-100.5,16.5,"-100.5_16.5",0.02,"Panamanian","Panamanian"
"38241",-99.5,16.5,"-99.5_16.5",0.32,"Panamanian","Panamanian"
"38242",-98.5,16.5,"-98.5_16.5",0.68,"Panamanian","Panamanian"
"38243",-97.5,16.5,"-97.5_16.5",0.99,"Panamanian","Panamanian"
"38244",-96.5,16.5,"-96.5_16.5",1,"Panamanian","Panamanian"
"38245",-95.5,16.5,"-95.5_16.5",0.95,"Panamanian","Panamanian"
"38246",-94.5,16.5,"-94.5_16.5",0.77,"Panamanian","Panamanian"
"38247",-93.5,16.5,"-93.5_16.5",0.99,"Panamanian","Panamanian"
"38248",-92.5,16.5,"-92.5_16.5",1,"Panamanian","Panamanian"
"38249",-91.5,16.5,"-91.5_16.5",1,"Panamanian","Panamanian"
"38250",-90.5,16.5,"-90.5_16.5",1,"Panamanian","Panamanian"
"38251",-89.5,16.5,"-89.5_16.5",1,"Panamanian","Panamanian"
"38252",-88.5,16.5,"-88.5_16.5",0.52,"Panamanian","Panamanian"
"38254",-86.5,16.5,"-86.5_16.5",0.05,"Panamanian","Panamanian"
"38278",-62.5,16.5,"-62.5_16.5",0.01,"Panamanian","Panamanian"
"38279",-61.5,16.5,"-61.5_16.5",0.12,"Panamanian","Panamanian"
"38315",-25.5,16.5,"-25.5_16.5",0.03,"African","Afrotropical"
"38316",-24.5,16.5,"-24.5_16.5",0.06,"African","Afrotropical"
"38318",-22.5,16.5,"-22.5_16.5",0.06,"African","Afrotropical"
"38324",-16.5,16.5,"-16.5_16.5",0.43,"African","Afrotropical"
"38325",-15.5,16.5,"-15.5_16.5",1,"African","Afrotropical"
"38326",-14.5,16.5,"-14.5_16.5",1,"African","Afrotropical"
"38327",-13.5,16.5,"-13.5_16.5",1,"African","Afrotropical"
"38328",-12.5,16.5,"-12.5_16.5",1,"African","Afrotropical"
"38329",-11.5,16.5,"-11.5_16.5",1,"African","Afrotropical"
"38330",-10.5,16.5,"-10.5_16.5",1,"African","Afrotropical"
"38331",-9.5,16.5,"-9.5_16.5",1,"African","Afrotropical"
"38332",-8.5,16.5,"-8.5_16.5",1,"African","Afrotropical"
"38333",-7.5,16.5,"-7.5_16.5",1,"African","Afrotropical"
"38334",-6.5,16.5,"-6.5_16.5",1,"African","Afrotropical"
"38335",-5.5,16.5,"-5.5_16.5",1,"African","Afrotropical"
"38336",-4.5,16.5,"-4.5_16.5",1,"African","Afrotropical"
"38337",-3.5,16.5,"-3.5_16.5",1,"African","Afrotropical"
"38338",-2.5,16.5,"-2.5_16.5",1,"African","Afrotropical"
"38339",-1.5,16.5,"-1.5_16.5",1,"African","Afrotropical"
"38340",-0.5,16.5,"-0.5_16.5",1,"African","Afrotropical"
"38341",0.5,16.5,"0.5_16.5",1,"African","Afrotropical"
"38342",1.5,16.5,"1.5_16.5",1,"African","Afrotropical"
"38343",2.5,16.5,"2.5_16.5",1,"African","Afrotropical"
"38344",3.5,16.5,"3.5_16.5",1,"African","Afrotropical"
"38345",4.5,16.5,"4.5_16.5",1,"African","Afrotropical"
"38346",5.5,16.5,"5.5_16.5",1,"African","Afrotropical"
"38347",6.5,16.5,"6.5_16.5",1,"African","Afrotropical"
"38348",7.5,16.5,"7.5_16.5",1,"African","Afrotropical"
"38349",8.5,16.5,"8.5_16.5",1,"African","Afrotropical"
"38350",9.5,16.5,"9.5_16.5",1,"African","Afrotropical"
"38351",10.5,16.5,"10.5_16.5",1,"African","Afrotropical"
"38352",11.5,16.5,"11.5_16.5",1,"African","Afrotropical"
"38353",12.5,16.5,"12.5_16.5",1,"African","Afrotropical"
"38354",13.5,16.5,"13.5_16.5",1,"African","Afrotropical"
"38355",14.5,16.5,"14.5_16.5",1,"African","Afrotropical"
"38356",15.5,16.5,"15.5_16.5",1,"African","Afrotropical"
"38357",16.5,16.5,"16.5_16.5",1,"African","Afrotropical"
"38358",17.5,16.5,"17.5_16.5",1,"African","Afrotropical"
"38359",18.5,16.5,"18.5_16.5",1,"African","Afrotropical"
"38360",19.5,16.5,"19.5_16.5",1,"African","Afrotropical"
"38361",20.5,16.5,"20.5_16.5",1,"African","Afrotropical"
"38362",21.5,16.5,"21.5_16.5",1,"African","Afrotropical"
"38363",22.5,16.5,"22.5_16.5",1,"African","Afrotropical"
"38364",23.5,16.5,"23.5_16.5",1,"African","Afrotropical"
"38365",24.5,16.5,"24.5_16.5",1,"African","Afrotropical"
"38366",25.5,16.5,"25.5_16.5",1,"African","Afrotropical"
"38367",26.5,16.5,"26.5_16.5",1,"African","Afrotropical"
"38368",27.5,16.5,"27.5_16.5",1,"African","Afrotropical"
"38369",28.5,16.5,"28.5_16.5",1,"African","Afrotropical"
"38370",29.5,16.5,"29.5_16.5",1,"African","Afrotropical"
"38371",30.5,16.5,"30.5_16.5",1,"African","Afrotropical"
"38372",31.5,16.5,"31.5_16.5",1,"African","Afrotropical"
"38373",32.5,16.5,"32.5_16.5",1,"African","Afrotropical"
"38374",33.5,16.5,"33.5_16.5",1,"African","Afrotropical"
"38375",34.5,16.5,"34.5_16.5",1,"African","Afrotropical"
"38376",35.5,16.5,"35.5_16.5",1,"African","Afrotropical"
"38377",36.5,16.5,"36.5_16.5",1,"African","Afrotropical"
"38378",37.5,16.5,"37.5_16.5",1,"African","Afrotropical"
"38379",38.5,16.5,"38.5_16.5",1,"African","Afrotropical"
"38380",39.5,16.5,"39.5_16.5",0.22,"African","Afrotropical"
"38381",40.5,16.5,"40.5_16.5",0.01,"Saharo-Arabian","Saharo-Arabian"
"38382",41.5,16.5,"41.5_16.5",0.04,"Saharo-Arabian","Saharo-Arabian"
"38383",42.5,16.5,"42.5_16.5",0.3,"Saharo-Arabian","Saharo-Arabian"
"38384",43.5,16.5,"43.5_16.5",1,"Saharo-Arabian","Saharo-Arabian"
"38385",44.5,16.5,"44.5_16.5",1,"Saharo-Arabian","Saharo-Arabian"
"38386",45.5,16.5,"45.5_16.5",1,"Saharo-Arabian","Saharo-Arabian"
"38387",46.5,16.5,"46.5_16.5",1,"Saharo-Arabian","Saharo-Arabian"
"38388",47.5,16.5,"47.5_16.5",1,"Saharo-Arabian","Saharo-Arabian"
"38389",48.5,16.5,"48.5_16.5",1,"Saharo-Arabian","Saharo-Arabian"
"38390",49.5,16.5,"49.5_16.5",1,"Saharo-Arabian","Saharo-Arabian"
"38391",50.5,16.5,"50.5_16.5",1,"Saharo-Arabian","Saharo-Arabian"
"38392",51.5,16.5,"51.5_16.5",1,"Saharo-Arabian","Saharo-Arabian"
"38393",52.5,16.5,"52.5_16.5",0.64,"Saharo-Arabian","Saharo-Arabian"
"38394",53.5,16.5,"53.5_16.5",0.22,"Saharo-Arabian","Saharo-Arabian"
"38414",73.5,16.5,"73.5_16.5",0.65,"Oriental","Oriental"
"38415",74.5,16.5,"74.5_16.5",1,"Oriental","Oriental"
"38416",75.5,16.5,"75.5_16.5",1,"Oriental","Oriental"
"38417",76.5,16.5,"76.5_16.5",1,"Oriental","Oriental"
"38418",77.5,16.5,"77.5_16.5",1,"Oriental","Oriental"
"38419",78.5,16.5,"78.5_16.5",1,"Oriental","Oriental"
"38420",79.5,16.5,"79.5_16.5",1,"Oriental","Oriental"
"38421",80.5,16.5,"80.5_16.5",1,"Oriental","Oriental"
"38422",81.5,16.5,"81.5_16.5",0.68,"Oriental","Oriental"
"38423",82.5,16.5,"82.5_16.5",0.13,"Oriental","Oriental"
"38435",94.5,16.5,"94.5_16.5",0.68,"Oriental","Oriental"
"38436",95.5,16.5,"95.5_16.5",0.92,"Oriental","Oriental"
"38437",96.5,16.5,"96.5_16.5",0.4,"Oriental","Oriental"
"38438",97.5,16.5,"97.5_16.5",0.61,"Oriental","Oriental"
"38439",98.5,16.5,"98.5_16.5",1,"Oriental","Oriental"
"38440",99.5,16.5,"99.5_16.5",1,"Oriental","Oriental"
"38441",100.5,16.5,"100.5_16.5",1,"Oriental","Oriental"
"38442",101.5,16.5,"101.5_16.5",1,"Oriental","Oriental"
"38443",102.5,16.5,"102.5_16.5",1,"Oriental","Oriental"
"38444",103.5,16.5,"103.5_16.5",1,"Oriental","Oriental"
"38445",104.5,16.5,"104.5_16.5",1,"Oriental","Oriental"
"38446",105.5,16.5,"105.5_16.5",1,"Oriental","Oriental"
"38447",106.5,16.5,"106.5_16.5",1,"Oriental","Oriental"
"38448",107.5,16.5,"107.5_16.5",0.64,"Oriental","Oriental"
"38449",108.5,16.5,"108.5_16.5",0.05,"Oriental","Oriental"
"38460",119.5,16.5,"119.5_16.5",0.07,"Indo-Malayan","Oriental"
"38461",120.5,16.5,"120.5_16.5",0.58,"Indo-Malayan","Oriental"
"38462",121.5,16.5,"121.5_16.5",0.99,"Indo-Malayan","Oriental"
"38463",122.5,16.5,"122.5_16.5",0.34,"Indo-Malayan","Oriental"
"38486",145.5,16.5,"145.5_16.5",0.03,"Papua-Melanesian","Oceanian"
"38599",-101.5,17.5,"-101.5_17.5",0.4,"Panamanian","Panamanian"
"38600",-100.5,17.5,"-100.5_17.5",0.93,"Panamanian","Panamanian"
"38601",-99.5,17.5,"-99.5_17.5",1,"Panamanian","Panamanian"
"38602",-98.5,17.5,"-98.5_17.5",1,"Panamanian","Panamanian"
"38603",-97.5,17.5,"-97.5_17.5",1,"Panamanian","Panamanian"
"38604",-96.5,17.5,"-96.5_17.5",1,"Panamanian","Panamanian"
"38605",-95.5,17.5,"-95.5_17.5",1,"Panamanian","Panamanian"
"38606",-94.5,17.5,"-94.5_17.5",1,"Panamanian","Panamanian"
"38607",-93.5,17.5,"-93.5_17.5",1,"Panamanian","Panamanian"
"38608",-92.5,17.5,"-92.5_17.5",1,"Panamanian","Panamanian"
"38609",-91.5,17.5,"-91.5_17.5",1,"Panamanian","Panamanian"
"38610",-90.5,17.5,"-90.5_17.5",1,"Panamanian","Panamanian"
"38611",-89.5,17.5,"-89.5_17.5",1,"Panamanian","Panamanian"
"38612",-88.5,17.5,"-88.5_17.5",0.75,"Panamanian","Panamanian"
"38613",-87.5,17.5,"-87.5_17.5",0.05,"Panamanian","Panamanian"
"38617",-83.5,17.5,"-83.5_17.5",0.03,"Panamanian","Panamanian"
"38623",-77.5,17.5,"-77.5_17.5",0.13,"Panamanian","Panamanian"
"38624",-76.5,17.5,"-76.5_17.5",0.06,"Panamanian","Panamanian"
"38629",-71.5,17.5,"-71.5_17.5",0.13,"Panamanian","Panamanian"
"38633",-67.5,17.5,"-67.5_17.5",0.02,"Panamanian","Panamanian"
"38634",-66.5,17.5,"-66.5_17.5",0.07,"Panamanian","Panamanian"
"38636",-64.5,17.5,"-64.5_17.5",0.03,"Panamanian","Panamanian"
"38638",-62.5,17.5,"-62.5_17.5",0.07,"Panamanian","Panamanian"
"38639",-61.5,17.5,"-61.5_17.5",0.06,"Panamanian","Panamanian"
"38675",-25.5,17.5,"-25.5_17.5",0.05,"African","Afrotropical"
"38684",-16.5,17.5,"-16.5_17.5",0.07,"African","Afrotropical"
"38685",-15.5,17.5,"-15.5_17.5",1,"African","Afrotropical"
"38686",-14.5,17.5,"-14.5_17.5",1,"African","Afrotropical"
"38687",-13.5,17.5,"-13.5_17.5",1,"African","Afrotropical"
"38688",-12.5,17.5,"-12.5_17.5",1,"African","Afrotropical"
"38689",-11.5,17.5,"-11.5_17.5",1,"African","Afrotropical"
"38690",-10.5,17.5,"-10.5_17.5",1,"African","Afrotropical"
"38691",-9.5,17.5,"-9.5_17.5",1,"African","Afrotropical"
"38692",-8.5,17.5,"-8.5_17.5",1,"African","Afrotropical"
"38693",-7.5,17.5,"-7.5_17.5",1,"African","Afrotropical"
"38694",-6.5,17.5,"-6.5_17.5",1,"African","Afrotropical"
"38695",-5.5,17.5,"-5.5_17.5",1,"African","Afrotropical"
"38696",-4.5,17.5,"-4.5_17.5",1,"African","Afrotropical"
"38697",-3.5,17.5,"-3.5_17.5",1,"African","Afrotropical"
"38698",-2.5,17.5,"-2.5_17.5",1,"African","Afrotropical"
"38699",-1.5,17.5,"-1.5_17.5",1,"African","Afrotropical"
"38700",-0.5,17.5,"-0.5_17.5",1,"African","Afrotropical"
"38701",0.5,17.5,"0.5_17.5",1,"African","Afrotropical"
"38702",1.5,17.5,"1.5_17.5",1,"African","Afrotropical"
"38703",2.5,17.5,"2.5_17.5",1,"African","Afrotropical"
"38704",3.5,17.5,"3.5_17.5",1,"African","Afrotropical"
"38705",4.5,17.5,"4.5_17.5",1,"African","Afrotropical"
"38706",5.5,17.5,"5.5_17.5",1,"African","Afrotropical"
"38707",6.5,17.5,"6.5_17.5",1,"African","Afrotropical"
"38708",7.5,17.5,"7.5_17.5",1,"African","Afrotropical"
"38709",8.5,17.5,"8.5_17.5",1,"African","Afrotropical"
"38710",9.5,17.5,"9.5_17.5",1,"African","Afrotropical"
"38711",10.5,17.5,"10.5_17.5",1,"African","Afrotropical"
"38712",11.5,17.5,"11.5_17.5",1,"African","Afrotropical"
"38713",12.5,17.5,"12.5_17.5",1,"African","Afrotropical"
"38714",13.5,17.5,"13.5_17.5",1,"African","Afrotropical"
"38715",14.5,17.5,"14.5_17.5",1,"African","Afrotropical"
"38716",15.5,17.5,"15.5_17.5",1,"African","Afrotropical"
"38717",16.5,17.5,"16.5_17.5",1,"African","Afrotropical"
"38718",17.5,17.5,"17.5_17.5",1,"African","Afrotropical"
"38719",18.5,17.5,"18.5_17.5",1,"African","Afrotropical"
"38720",19.5,17.5,"19.5_17.5",1,"African","Afrotropical"
"38721",20.5,17.5,"20.5_17.5",1,"African","Afrotropical"
"38722",21.5,17.5,"21.5_17.5",1,"African","Afrotropical"
"38723",22.5,17.5,"22.5_17.5",1,"African","Afrotropical"
"38724",23.5,17.5,"23.5_17.5",1,"African","Afrotropical"
"38725",24.5,17.5,"24.5_17.5",1,"African","Afrotropical"
"38726",25.5,17.5,"25.5_17.5",1,"African","Afrotropical"
"38727",26.5,17.5,"26.5_17.5",1,"African","Afrotropical"
"38728",27.5,17.5,"27.5_17.5",1,"African","Afrotropical"
"38729",28.5,17.5,"28.5_17.5",1,"African","Afrotropical"
"38730",29.5,17.5,"29.5_17.5",1,"African","Afrotropical"
"38731",30.5,17.5,"30.5_17.5",1,"African","Afrotropical"
"38732",31.5,17.5,"31.5_17.5",1,"African","Afrotropical"
"38733",32.5,17.5,"32.5_17.5",1,"African","Afrotropical"
"38734",33.5,17.5,"33.5_17.5",1,"African","Afrotropical"
"38735",34.5,17.5,"34.5_17.5",1,"African","Afrotropical"
"38736",35.5,17.5,"35.5_17.5",1,"African","Afrotropical"
"38737",36.5,17.5,"36.5_17.5",1,"African","Afrotropical"
"38738",37.5,17.5,"37.5_17.5",1,"African","Afrotropical"
"38739",38.5,17.5,"38.5_17.5",0.88,"African","Afrotropical"
"38740",39.5,17.5,"39.5_17.5",0.02,"African","Afrotropical"
"38742",41.5,17.5,"41.5_17.5",0.05,"Saharo-Arabian","Saharo-Arabian"
"38743",42.5,17.5,"42.5_17.5",0.8,"Saharo-Arabian","Saharo-Arabian"
"38744",43.5,17.5,"43.5_17.5",1,"Saharo-Arabian","Saharo-Arabian"
"38745",44.5,17.5,"44.5_17.5",1,"Saharo-Arabian","Saharo-Arabian"
"38746",45.5,17.5,"45.5_17.5",1,"Saharo-Arabian","Saharo-Arabian"
"38747",46.5,17.5,"46.5_17.5",1,"Saharo-Arabian","Saharo-Arabian"
"38748",47.5,17.5,"47.5_17.5",1,"Saharo-Arabian","Saharo-Arabian"
"38749",48.5,17.5,"48.5_17.5",1,"Saharo-Arabian","Saharo-Arabian"
"38750",49.5,17.5,"49.5_17.5",1,"Saharo-Arabian","Saharo-Arabian"
"38751",50.5,17.5,"50.5_17.5",1,"Saharo-Arabian","Saharo-Arabian"
"38752",51.5,17.5,"51.5_17.5",1,"Saharo-Arabian","Saharo-Arabian"
"38753",52.5,17.5,"52.5_17.5",1,"Saharo-Arabian","Saharo-Arabian"
"38754",53.5,17.5,"53.5_17.5",1,"Saharo-Arabian","Saharo-Arabian"
"38755",54.5,17.5,"54.5_17.5",1,"Saharo-Arabian","Saharo-Arabian"
"38756",55.5,17.5,"55.5_17.5",0.38,"Saharo-Arabian","Saharo-Arabian"
"38757",56.5,17.5,"56.5_17.5",0.03,"Saharo-Arabian","Saharo-Arabian"
"38774",73.5,17.5,"73.5_17.5",0.83,"Oriental","Oriental"
"38775",74.5,17.5,"74.5_17.5",1,"Oriental","Oriental"
"38776",75.5,17.5,"75.5_17.5",1,"Oriental","Oriental"
"38777",76.5,17.5,"76.5_17.5",1,"Oriental","Oriental"
"38778",77.5,17.5,"77.5_17.5",1,"Oriental","Oriental"
"38779",78.5,17.5,"78.5_17.5",1,"Oriental","Oriental"
"38780",79.5,17.5,"79.5_17.5",1,"Oriental","Oriental"
"38781",80.5,17.5,"80.5_17.5",1,"Oriental","Oriental"
"38782",81.5,17.5,"81.5_17.5",1,"Oriental","Oriental"
"38783",82.5,17.5,"82.5_17.5",0.78,"Oriental","Oriental"
"38784",83.5,17.5,"83.5_17.5",0.16,"Oriental","Oriental"
"38795",94.5,17.5,"94.5_17.5",0.48,"Oriental","Oriental"
"38796",95.5,17.5,"95.5_17.5",1,"Oriental","Oriental"
"38797",96.5,17.5,"96.5_17.5",0.94,"Oriental","Oriental"
"38798",97.5,17.5,"97.5_17.5",0.97,"Oriental","Oriental"
"38799",98.5,17.5,"98.5_17.5",1,"Oriental","Oriental"
"38800",99.5,17.5,"99.5_17.5",1,"Oriental","Oriental"
"38801",100.5,17.5,"100.5_17.5",1,"Oriental","Oriental"
"38802",101.5,17.5,"101.5_17.5",1,"Oriental","Oriental"
"38803",102.5,17.5,"102.5_17.5",1,"Oriental","Oriental"
"38804",103.5,17.5,"103.5_17.5",1,"Oriental","Oriental"
"38805",104.5,17.5,"104.5_17.5",1,"Oriental","Oriental"
"38806",105.5,17.5,"105.5_17.5",1,"Oriental","Oriental"
"38807",106.5,17.5,"106.5_17.5",0.66,"Oriental","Oriental"
"38808",107.5,17.5,"107.5_17.5",0.01,"Oriental","Oriental"
"38821",120.5,17.5,"120.5_17.5",0.46,"Indo-Malayan","Oriental"
"38822",121.5,17.5,"121.5_17.5",0.9,"Indo-Malayan","Oriental"
"38823",122.5,17.5,"122.5_17.5",0.28,"Indo-Malayan","Oriental"
"38846",145.5,17.5,"145.5_17.5",0.02,"Papua-Melanesian","Oceanian"
"38946",-114.5,18.5,"-114.5_18.5",0.02,"South American","Neotropical"
"38949",-111.5,18.5,"-111.5_18.5",0.01,"South American","Neotropical"
"38950",-110.5,18.5,"-110.5_18.5",0.01,"South American","Neotropical"
"38956",-104.5,18.5,"-104.5_18.5",0.02,"Mexican","Nearctic"
"38957",-103.5,18.5,"-103.5_18.5",0.53,"Mexican","Nearctic"
"38958",-102.5,18.5,"-102.5_18.5",0.96,"Mexican","Nearctic"
"38959",-101.5,18.5,"-101.5_18.5",1,"Mexican","Nearctic"
"38960",-100.5,18.5,"-100.5_18.5",1,"Mexican","Nearctic"
"38961",-99.5,18.5,"-99.5_18.5",1,"Mexican","Nearctic"
"38962",-98.5,18.5,"-98.5_18.5",1,"Mexican","Nearctic"
"38963",-97.5,18.5,"-97.5_18.5",1,"Mexican","Nearctic"
"38964",-96.5,18.5,"-96.5_18.5",1,"Mexican","Nearctic"
"38965",-95.5,18.5,"-95.5_18.5",0.69,"Panamanian","Panamanian"
"38966",-94.5,18.5,"-94.5_18.5",0.25,"Panamanian","Panamanian"
"38967",-93.5,18.5,"-93.5_18.5",0.33,"Panamanian","Panamanian"
"38968",-92.5,18.5,"-92.5_18.5",0.58,"Panamanian","Panamanian"
"38969",-91.5,18.5,"-91.5_18.5",0.65,"Panamanian","Panamanian"
"38970",-90.5,18.5,"-90.5_18.5",1,"Panamanian","Panamanian"
"38971",-89.5,18.5,"-89.5_18.5",1,"Panamanian","Panamanian"
"38972",-88.5,18.5,"-88.5_18.5",0.85,"Panamanian","Panamanian"
"38973",-87.5,18.5,"-87.5_18.5",0.23,"Panamanian","Panamanian"
"38982",-78.5,18.5,"-78.5_18.5",0.1,"Panamanian","Panamanian"
"38983",-77.5,18.5,"-77.5_18.5",0.47,"Panamanian","Panamanian"
"38984",-76.5,18.5,"-76.5_18.5",0.17,"Panamanian","Panamanian"
"38986",-74.5,18.5,"-74.5_18.5",0.17,"Panamanian","Panamanian"
"38987",-73.5,18.5,"-73.5_18.5",0.44,"Panamanian","Panamanian"
"38988",-72.5,18.5,"-72.5_18.5",0.59,"Panamanian","Panamanian"
"38989",-71.5,18.5,"-71.5_18.5",0.94,"Panamanian","Panamanian"
"38990",-70.5,18.5,"-70.5_18.5",0.71,"Panamanian","Panamanian"
"38991",-69.5,18.5,"-69.5_18.5",0.57,"Panamanian","Panamanian"
"38992",-68.5,18.5,"-68.5_18.5",0.35,"Panamanian","Panamanian"
"38993",-67.5,18.5,"-67.5_18.5",0.12,"Panamanian","Panamanian"
"38994",-66.5,18.5,"-66.5_18.5",0.46,"Panamanian","Panamanian"
"38995",-65.5,18.5,"-65.5_18.5",0.15,"Panamanian","Panamanian"
"38996",-64.5,18.5,"-64.5_18.5",0.07,"Panamanian","Panamanian"
"38997",-63.5,18.5,"-63.5_18.5",0.03,"Panamanian","Panamanian"
"39044",-16.5,18.5,"-16.5_18.5",0.04,"African","Afrotropical"
"39045",-15.5,18.5,"-15.5_18.5",1,"African","Afrotropical"
"39046",-14.5,18.5,"-14.5_18.5",1,"African","Afrotropical"
"39047",-13.5,18.5,"-13.5_18.5",1,"African","Afrotropical"
"39048",-12.5,18.5,"-12.5_18.5",1,"African","Afrotropical"
"39049",-11.5,18.5,"-11.5_18.5",1,"African","Afrotropical"
"39050",-10.5,18.5,"-10.5_18.5",1,"African","Afrotropical"
"39051",-9.5,18.5,"-9.5_18.5",1,"African","Afrotropical"
"39052",-8.5,18.5,"-8.5_18.5",1,"African","Afrotropical"
"39053",-7.5,18.5,"-7.5_18.5",1,"African","Afrotropical"
"39054",-6.5,18.5,"-6.5_18.5",1,"African","Afrotropical"
"39055",-5.5,18.5,"-5.5_18.5",1,"African","Afrotropical"
"39056",-4.5,18.5,"-4.5_18.5",1,"African","Afrotropical"
"39057",-3.5,18.5,"-3.5_18.5",1,"African","Afrotropical"
"39058",-2.5,18.5,"-2.5_18.5",1,"African","Afrotropical"
"39059",-1.5,18.5,"-1.5_18.5",1,"African","Afrotropical"
"39060",-0.5,18.5,"-0.5_18.5",1,"African","Afrotropical"
"39061",0.5,18.5,"0.5_18.5",1,"African","Afrotropical"
"39062",1.5,18.5,"1.5_18.5",1,"African","Afrotropical"
"39063",2.5,18.5,"2.5_18.5",1,"African","Afrotropical"
"39064",3.5,18.5,"3.5_18.5",1,"African","Afrotropical"
"39065",4.5,18.5,"4.5_18.5",1,"African","Afrotropical"
"39066",5.5,18.5,"5.5_18.5",1,"African","Afrotropical"
"39067",6.5,18.5,"6.5_18.5",1,"African","Afrotropical"
"39068",7.5,18.5,"7.5_18.5",1,"African","Afrotropical"
"39069",8.5,18.5,"8.5_18.5",1,"African","Afrotropical"
"39070",9.5,18.5,"9.5_18.5",1,"African","Afrotropical"
"39071",10.5,18.5,"10.5_18.5",1,"African","Afrotropical"
"39072",11.5,18.5,"11.5_18.5",1,"African","Afrotropical"
"39073",12.5,18.5,"12.5_18.5",1,"African","Afrotropical"
"39074",13.5,18.5,"13.5_18.5",1,"African","Afrotropical"
"39075",14.5,18.5,"14.5_18.5",1,"African","Afrotropical"
"39076",15.5,18.5,"15.5_18.5",1,"African","Afrotropical"
"39077",16.5,18.5,"16.5_18.5",1,"African","Afrotropical"
"39078",17.5,18.5,"17.5_18.5",1,"African","Afrotropical"
"39079",18.5,18.5,"18.5_18.5",1,"African","Afrotropical"
"39080",19.5,18.5,"19.5_18.5",1,"African","Afrotropical"
"39081",20.5,18.5,"20.5_18.5",1,"African","Afrotropical"
"39082",21.5,18.5,"21.5_18.5",1,"African","Afrotropical"
"39083",22.5,18.5,"22.5_18.5",1,"African","Afrotropical"
"39084",23.5,18.5,"23.5_18.5",1,"African","Afrotropical"
"39085",24.5,18.5,"24.5_18.5",1,"African","Afrotropical"
"39086",25.5,18.5,"25.5_18.5",1,"African","Afrotropical"
"39087",26.5,18.5,"26.5_18.5",1,"African","Afrotropical"
"39088",27.5,18.5,"27.5_18.5",1,"African","Afrotropical"
"39089",28.5,18.5,"28.5_18.5",1,"African","Afrotropical"
"39090",29.5,18.5,"29.5_18.5",1,"African","Afrotropical"
"39091",30.5,18.5,"30.5_18.5",1,"African","Afrotropical"
"39092",31.5,18.5,"31.5_18.5",1,"African","Afrotropical"
"39093",32.5,18.5,"32.5_18.5",1,"African","Afrotropical"
"39094",33.5,18.5,"33.5_18.5",1,"African","Afrotropical"
"39095",34.5,18.5,"34.5_18.5",1,"African","Afrotropical"
"39096",35.5,18.5,"35.5_18.5",1,"African","Afrotropical"
"39097",36.5,18.5,"36.5_18.5",1,"African","Afrotropical"
"39098",37.5,18.5,"37.5_18.5",0.82,"African","Afrotropical"
"39099",38.5,18.5,"38.5_18.5",0.16,"African","Afrotropical"
"39102",41.5,18.5,"41.5_18.5",0.64,"Saharo-Arabian","Saharo-Arabian"
"39103",42.5,18.5,"42.5_18.5",1,"Saharo-Arabian","Saharo-Arabian"
"39104",43.5,18.5,"43.5_18.5",1,"Saharo-Arabian","Saharo-Arabian"
"39105",44.5,18.5,"44.5_18.5",1,"Saharo-Arabian","Saharo-Arabian"
"39106",45.5,18.5,"45.5_18.5",1,"Saharo-Arabian","Saharo-Arabian"
"39107",46.5,18.5,"46.5_18.5",1,"Saharo-Arabian","Saharo-Arabian"
"39108",47.5,18.5,"47.5_18.5",1,"Saharo-Arabian","Saharo-Arabian"
"39109",48.5,18.5,"48.5_18.5",1,"Saharo-Arabian","Saharo-Arabian"
"39110",49.5,18.5,"49.5_18.5",1,"Saharo-Arabian","Saharo-Arabian"
"39111",50.5,18.5,"50.5_18.5",1,"Saharo-Arabian","Saharo-Arabian"
"39112",51.5,18.5,"51.5_18.5",1,"Saharo-Arabian","Saharo-Arabian"
"39113",52.5,18.5,"52.5_18.5",1,"Saharo-Arabian","Saharo-Arabian"
"39114",53.5,18.5,"53.5_18.5",1,"Saharo-Arabian","Saharo-Arabian"
"39115",54.5,18.5,"54.5_18.5",1,"Saharo-Arabian","Saharo-Arabian"
"39116",55.5,18.5,"55.5_18.5",1,"Saharo-Arabian","Saharo-Arabian"
"39117",56.5,18.5,"56.5_18.5",0.69,"Saharo-Arabian","Saharo-Arabian"
"39118",57.5,18.5,"57.5_18.5",0.05,"Saharo-Arabian","Saharo-Arabian"
"39133",72.5,18.5,"72.5_18.5",0.07,"Oriental","Oriental"
"39134",73.5,18.5,"73.5_18.5",1,"Oriental","Oriental"
"39135",74.5,18.5,"74.5_18.5",1,"Oriental","Oriental"
"39136",75.5,18.5,"75.5_18.5",1,"Oriental","Oriental"
"39137",76.5,18.5,"76.5_18.5",1,"Oriental","Oriental"
"39138",77.5,18.5,"77.5_18.5",1,"Oriental","Oriental"
"39139",78.5,18.5,"78.5_18.5",1,"Oriental","Oriental"
"39140",79.5,18.5,"79.5_18.5",1,"Oriental","Oriental"
"39141",80.5,18.5,"80.5_18.5",1,"Oriental","Oriental"
"39142",81.5,18.5,"81.5_18.5",1,"Oriental","Oriental"
"39143",82.5,18.5,"82.5_18.5",1,"Oriental","Oriental"
"39144",83.5,18.5,"83.5_18.5",0.93,"Oriental","Oriental"
