"","lon","lat","coord","cover","Region","Realm"
"15225",-75.5,-47.5,"-75.5_-47.5",0.05,"South American","Neotropical"
"15226",-74.5,-47.5,"-74.5_-47.5",0.45,"South American","Neotropical"
"15227",-73.5,-47.5,"-73.5_-47.5",0.94,"South American","Neotropical"
"15228",-72.5,-47.5,"-72.5_-47.5",1,"South American","Neotropical"
"15229",-71.5,-47.5,"-71.5_-47.5",1,"South American","Neotropical"
"15230",-70.5,-47.5,"-70.5_-47.5",1,"South American","Neotropical"
"15231",-69.5,-47.5,"-69.5_-47.5",1,"South American","Neotropical"
"15232",-68.5,-47.5,"-68.5_-47.5",1,"South American","Neotropical"
"15233",-67.5,-47.5,"-67.5_-47.5",1,"South American","Neotropical"
"15234",-66.5,-47.5,"-66.5_-47.5",0.92,"South American","Neotropical"
"15235",-65.5,-47.5,"-65.5_-47.5",0.17,"South American","Neotropical"
"15467",166.5,-47.5,"166.5_-47.5",0.03,"Novozelandic","Australian"
"15468",167.5,-47.5,"167.5_-47.5",0.1,"Novozelandic","Australian"
"15469",168.5,-47.5,"168.5_-47.5",0.02,"Novozelandic","Australian"
"15585",-75.5,-46.5,"-75.5_-46.5",0.26,"South American","Neotropical"
"15586",-74.5,-46.5,"-74.5_-46.5",0.84,"South American","Neotropical"
"15587",-73.5,-46.5,"-73.5_-46.5",0.9,"South American","Neotropical"
"15588",-72.5,-46.5,"-72.5_-46.5",1,"South American","Neotropical"
"15589",-71.5,-46.5,"-71.5_-46.5",1,"South American","Neotropical"
"15590",-70.5,-46.5,"-70.5_-46.5",1,"South American","Neotropical"
"15591",-69.5,-46.5,"-69.5_-46.5",1,"South American","Neotropical"
"15592",-68.5,-46.5,"-68.5_-46.5",1,"South American","Neotropical"
"15593",-67.5,-46.5,"-67.5_-46.5",0.63,"South American","Neotropical"
"15594",-66.5,-46.5,"-66.5_-46.5",0.01,"South American","Neotropical"
"15827",166.5,-46.5,"166.5_-46.5",0.06,"Novozelandic","Australian"
"15828",167.5,-46.5,"167.5_-46.5",0.36,"Novozelandic","Australian"
"15829",168.5,-46.5,"168.5_-46.5",0.56,"Novozelandic","Australian"
"15830",169.5,-46.5,"169.5_-46.5",0.61,"Novozelandic","Australian"
"15831",170.5,-46.5,"170.5_-46.5",0.07,"Novozelandic","Australian"
"15945",-75.5,-45.5,"-75.5_-45.5",0.02,"South American","Neotropical"
"15946",-74.5,-45.5,"-74.5_-45.5",0.48,"South American","Neotropical"
"15947",-73.5,-45.5,"-73.5_-45.5",0.72,"South American","Neotropical"
"15948",-72.5,-45.5,"-72.5_-45.5",0.98,"South American","Neotropical"
"15949",-71.5,-45.5,"-71.5_-45.5",1,"South American","Neotropical"
"15950",-70.5,-45.5,"-70.5_-45.5",1,"South American","Neotropical"
"15951",-69.5,-45.5,"-69.5_-45.5",1,"South American","Neotropical"
"15952",-68.5,-45.5,"-68.5_-45.5",1,"South American","Neotropical"
"15953",-67.5,-45.5,"-67.5_-45.5",0.81,"South American","Neotropical"
"15954",-66.5,-45.5,"-66.5_-45.5",0.12,"South American","Neotropical"
"16187",166.5,-45.5,"166.5_-45.5",0.23,"Novozelandic","Australian"
"16188",167.5,-45.5,"167.5_-45.5",0.96,"Novozelandic","Australian"
"16189",168.5,-45.5,"168.5_-45.5",1,"Novozelandic","Australian"
"16190",169.5,-45.5,"169.5_-45.5",1,"Novozelandic","Australian"
"16191",170.5,-45.5,"170.5_-45.5",0.84,"Novozelandic","Australian"
"16192",171.5,-45.5,"171.5_-45.5",0.01,"Novozelandic","Australian"
"16204",-176.5,-44.5,"-176.5_-44.5",0.03,"Novozelandic","Australian"
"16305",-75.5,-44.5,"-75.5_-44.5",0.03,"South American","Neotropical"
"16306",-74.5,-44.5,"-74.5_-44.5",0.4,"South American","Neotropical"
"16307",-73.5,-44.5,"-73.5_-44.5",0.54,"South American","Neotropical"
"16308",-72.5,-44.5,"-72.5_-44.5",0.91,"South American","Neotropical"
"16309",-71.5,-44.5,"-71.5_-44.5",1,"South American","Neotropical"
"16310",-70.5,-44.5,"-70.5_-44.5",1,"South American","Neotropical"
"16311",-69.5,-44.5,"-69.5_-44.5",1,"South American","Neotropical"
"16312",-68.5,-44.5,"-68.5_-44.5",1,"South American","Neotropical"
"16313",-67.5,-44.5,"-67.5_-44.5",1,"South American","Neotropical"
"16314",-66.5,-44.5,"-66.5_-44.5",1,"South American","Neotropical"
"16315",-65.5,-44.5,"-65.5_-44.5",0.56,"South American","Neotropical"
"16548",167.5,-44.5,"167.5_-44.5",0.21,"Novozelandic","Australian"
"16549",168.5,-44.5,"168.5_-44.5",0.88,"Novozelandic","Australian"
"16550",169.5,-44.5,"169.5_-44.5",1,"Novozelandic","Australian"
"16551",170.5,-44.5,"170.5_-44.5",1,"Novozelandic","Australian"
"16552",171.5,-44.5,"171.5_-44.5",0.37,"Novozelandic","Australian"
"16564",-176.5,-43.5,"-176.5_-43.5",0.05,"Novozelandic","Australian"
"16666",-74.5,-43.5,"-74.5_-43.5",0.15,"South American","Neotropical"
"16667",-73.5,-43.5,"-73.5_-43.5",0.22,"South American","Neotropical"
"16668",-72.5,-43.5,"-72.5_-43.5",0.96,"South American","Neotropical"
"16669",-71.5,-43.5,"-71.5_-43.5",1,"South American","Neotropical"
"16670",-70.5,-43.5,"-70.5_-43.5",1,"South American","Neotropical"
"16671",-69.5,-43.5,"-69.5_-43.5",1,"South American","Neotropical"
"16672",-68.5,-43.5,"-68.5_-43.5",1,"South American","Neotropical"
"16673",-67.5,-43.5,"-67.5_-43.5",1,"South American","Neotropical"
"16674",-66.5,-43.5,"-66.5_-43.5",1,"South American","Neotropical"
"16675",-65.5,-43.5,"-65.5_-43.5",0.84,"South American","Neotropical"
"16676",-64.5,-43.5,"-64.5_-43.5",0.1,"South American","Neotropical"
"16886",145.5,-43.5,"145.5_-43.5",0.08,"Australian","Australian"
"16887",146.5,-43.5,"146.5_-43.5",0.49,"Australian","Australian"
"16888",147.5,-43.5,"147.5_-43.5",0.16,"Australian","Australian"
"16910",169.5,-43.5,"169.5_-43.5",0.33,"Novozelandic","Australian"
"16911",170.5,-43.5,"170.5_-43.5",0.89,"Novozelandic","Australian"
"16912",171.5,-43.5,"171.5_-43.5",1,"Novozelandic","Australian"
"16913",172.5,-43.5,"172.5_-43.5",0.76,"Novozelandic","Australian"
"16914",173.5,-43.5,"173.5_-43.5",0.04,"Novozelandic","Australian"
"17026",-74.5,-42.5,"-74.5_-42.5",0.16,"South American","Neotropical"
"17027",-73.5,-42.5,"-73.5_-42.5",0.5,"South American","Neotropical"
"17028",-72.5,-42.5,"-72.5_-42.5",0.71,"South American","Neotropical"
"17029",-71.5,-42.5,"-71.5_-42.5",1,"South American","Neotropical"
"17030",-70.5,-42.5,"-70.5_-42.5",1,"South American","Neotropical"
"17031",-69.5,-42.5,"-69.5_-42.5",1,"South American","Neotropical"
"17032",-68.5,-42.5,"-68.5_-42.5",1,"South American","Neotropical"
"17033",-67.5,-42.5,"-67.5_-42.5",1,"South American","Neotropical"
"17034",-66.5,-42.5,"-66.5_-42.5",1,"South American","Neotropical"
"17035",-65.5,-42.5,"-65.5_-42.5",0.99,"South American","Neotropical"
"17036",-64.5,-42.5,"-64.5_-42.5",0.38,"South American","Neotropical"
"17037",-63.5,-42.5,"-63.5_-42.5",0.27,"South American","Neotropical"
"17246",145.5,-42.5,"145.5_-42.5",0.66,"Australian","Australian"
